"","number","sp","Dataset","TraitValue","TraitValueClean","Lat","Lon","DataContributor","TraitName","TraitNameClean","extra","extra2"
"1",1,"Cassiope tetragona","""Atqasuk""","0.062","0.062","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"2",2,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.076","0.076","69.57536","-138.86479","""Haydn Thomas"," Isla Myers-Smith""","PlantHeight","""PlantHeight"";;",NA
"3",3,"Cassiope tetragona","""Atqasuk""","0.072","0.072","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"4",4,"Cassiope tetragona","""GLOPNET - Global Plant Trait Network Database""","0.1","0.1","67.5","-152.5","""Ian Wright""","""PlantHeight"";;","PlantHeight",NA,NA
"5",5,"Cassiope tetragona","""Kluane Plateau""","0.072","0.072","60.97135","-138.41777","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"6",6,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.138","0.138","69.57536","-138.86479","""Haydn Thomas"," Isla Myers-Smith""","PlantHeight","""PlantHeight"";;",NA
"7",7,"Cassiope tetragona","""Kilpisjarvi"," Finland""","0.06","69.05440329","20.81852298","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"8",8,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.103","0.103","69.57795","-138.92172","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"9",9,"Cassiope tetragona","""Atqasuk""","0.068","0.068","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"10",10,"Cassiope tetragona","""Abisko""","4.53125","4.53125","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"11",11,"Cassiope tetragona","""Abisko""","7.01375","7.01375","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"12",12,"Cassiope tetragona","""Abisko""","3.518666667","3.518666667","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"13",13,"Cassiope tetragona","""Kilpisjarvi"," Finland""","0.073","69.05285125","20.82412302","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"14",14,"Cassiope tetragona","""Abisko""","4.976666667","4.976666667","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"15",15,"Cassiope tetragona","""Kluane Plateau""","0.106","0.106","60.97135","-138.41777","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"16",16,"Cassiope tetragona","""GLOPNET - Global Plant Trait Network Database""","7.35373953988935","7.35373953988935","69","18","""Ian Wright""","""SLA"";;","SLA",NA,NA
"17",17,"Cassiope tetragona","""Abisko""","7.7775","7.7775","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"18",18,"Cassiope tetragona","""Atqasuk""","0.07","0.07","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"19",19,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.102","0.102","69.57536","-138.86479","""Haydn Thomas"," Isla Myers-Smith""","PlantHeight","""PlantHeight"";;",NA
"20",20,"Cassiope tetragona","""Barrow"," Alaska""","0.052","71.31502696","-156.6010247","""Janet Prevey; Bob Hollister""","""PlantHeight"";","PlantHeight",NA,NA
"21",21,"Cassiope tetragona","""Kilpisjarvi"," Finland""","0.142","69.05440329","20.81852298","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"22",22,"Cassiope tetragona","""Abisko""","6.1575","6.1575","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"23",23,"Cassiope tetragona","""The Global Leaf Traits""","7.3537395399","7.3537395399","68.33","18.85","""Serge Sheremetev""","""SLA"";;","SLA",NA,NA
"24",24,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.09","0.09","69.57795","-138.92172","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"25",25,"Cassiope tetragona","""Atqasuk""","0.026","0.026","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
