row,sp,Dataset,TraitValue,Lat,Lon,DataContributor,TraitName;;
1,Cassiope tetragona,Atqasuk,0.062,70.46,-157.42,Robert Hollister,PlantHeight;;
2,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.076,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
3,Cassiope tetragona,Atqasuk,0.072,70.46,-157.42,Robert Hollister,PlantHeight;;
4,Cassiope tetragona,GLOPNET - Global Plant Trait Network Database,0.1,67.5,-152.5,Ian Wright,PlantHeight;;
5,Cassiope tetragona,Kluane Plateau,0.072,60.97135,-138.41777,Haydn Thomas,PlantHeight;;
6,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.138,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
7,Cassiope tetragona,Kilpisjarvi, Finland,0.06,69.05440329,20.81852298,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
8,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.103,69.57795,-138.92172,Haydn Thomas,PlantHeight;;
9,Cassiope tetragona,Atqasuk,0.068,70.46,-157.42,Robert Hollister,PlantHeight;;
10,Cassiope tetragona,Abisko,4.53125,68.355968,18.722872,Martin Hallinger,SLA;;
11,Cassiope tetragona,Abisko,7.01375,68.355968,18.722872,Martin Hallinger,SLA;;
12,Cassiope tetragona,Abisko,3.518666667,68.355968,18.722872,Martin Hallinger,SLA;;
13,Cassiope tetragona,Kilpisjarvi, Finland,0.073,69.05285125,20.82412302,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
14,Cassiope tetragona,Abisko,4.976666667,68.355968,18.722872,Martin Hallinger,SLA;;
15,Cassiope tetragona,Kluane Plateau,0.106,60.97135,-138.41777,Haydn Thomas,PlantHeight;;
16,Cassiope tetragona,GLOPNET - Global Plant Trait Network Database,7.35373953988935,69,18,Ian Wright,SLA;;
17,Cassiope tetragona,Abisko,7.7775,68.355968,18.722872,Martin Hallinger,SLA;;
18,Cassiope tetragona,Atqasuk,0.07,70.46,-157.42,Robert Hollister,PlantHeight;;
19,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.102,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
20,Cassiope tetragona,Barrow, Alaska,0.052,71.31502696,-156.6010247,Janet Prevey; Bob Hollister,PlantHeight;
21,Cassiope tetragona,Kilpisjarvi, Finland,0.142,69.05440329,20.81852298,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
22,Cassiope tetragona,Abisko,6.1575,68.355968,18.722872,Martin Hallinger,SLA;;
23,Cassiope tetragona,The Global Leaf Traits,7.3537395399,68.33,18.85,Serge Sheremetev,SLA;;
24,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.09,69.57795,-138.92172,Haydn Thomas,PlantHeight;;
25,Cassiope tetragona,Atqasuk,0.026,70.46,-157.42,Robert Hollister,PlantHeight;;
26,Cassiope tetragona,Latnjajaure Sweden,0.091,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
27,Cassiope tetragona,Atqasuk,0.088,70.46,-157.42,Robert Hollister,PlantHeight;;
28,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
29,Cassiope tetragona,Atqasuk,0.04,70.46,-157.42,Robert Hollister,PlantHeight;;
30,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.1,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
31,Cassiope tetragona,Kilpisjarvi, Finland,0.03,69.04809405,20.8331016,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
32,Cassiope tetragona,Atqasuk,0.086,70.46,-157.42,Robert Hollister,PlantHeight;;
33,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
34,Cassiope tetragona,BobHollisterSeeds,1.97e-05,70.45373011,-157.4073879,BobHollisterSeeds,SeedMass;;
35,Cassiope tetragona,Endalen Svalbard,0.1,78.186036,15.739356,Stef Weijers,PlantHeight;;
36,Cassiope tetragona,Atqasuk,0.07,70.46,-157.42,Robert Hollister,PlantHeight;;
37,Cassiope tetragona,Atqasuk,0.072,70.46,-157.42,Robert Hollister,PlantHeight;;
38,Cassiope tetragona,Atqasuk,0.04,70.46,-157.42,Robert Hollister,PlantHeight;;
39,Cassiope tetragona,Atqasuk,0.042,70.46,-157.42,Robert Hollister,PlantHeight;;
40,Cassiope tetragona,Abisko,4.814814815,68.355968,18.722872,Martin Hallinger,SLA;;
41,Cassiope tetragona,GLOPNET - Global Plant Trait Network Database,4,67.5,-152.5,Ian Wright,SLA;;
42,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.103,69.57795,-138.92172,Haydn Thomas,PlantHeight;;
43,Cassiope tetragona,Atqasuk,0.076,70.46,-157.42,Robert Hollister,PlantHeight;;
44,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.068,69.57795,-138.92172,Haydn Thomas,PlantHeight;;
45,Cassiope tetragona,Herschel Island,8.235294118,69.5749,-138.8631,Isla Myers-Smith,SLA;;
46,Cassiope tetragona,Latnjajaure Sweden,0.058,68.3557,18.4953,Juha Alatalo, Ulf Molau, Gaurav Baruah,PlantHeight;;
47,Cassiope tetragona,Atqasuk,0.088,70.46,-157.42,Robert Hollister,PlantHeight;;
48,Cassiope tetragona,Atqasuk,0.081,70.46,-157.42,Robert Hollister,PlantHeight;;
